Code,Activity,Type,Name,Variable,From,To
OP-AA-004,OP,Activity avoidance,"Outpatient Consultant to Consultant Referrals (Children, Surgical)",consultant_to_consultant_reduction_child_surgical,v0.6.0,-
OP-AA-005,OP,Activity avoidance,"Outpatient Followup Appointment Reduction (Adult, Non-Surgical)",followup_reduction_adult_non-surgical,v0.6.0,-
OP-AA-006,OP,Activity avoidance,"Outpatient Followup Appointment Reduction (Adult, Surgical)",followup_reduction_adult_surgical,v0.6.0,-
OP-AA-007,OP,Activity avoidance,"Outpatient Followup Appointment Reduction (Children, Non-Surgical)",followup_reduction_child_non-surgical,v0.6.0,-
OP-AA-008,OP,Activity avoidance,"Outpatient Followup Appointment Reduction (Children, Surgical)",followup_reduction_child_surgical,v0.6.0,-
OP-AA-009,OP,Activity avoidance,"Outpatient GP Referred First Attendance Reduction (Adult, Non-Surgical)",gp_referred_first_attendance_reduction_adult_non-surgical,v0.6.3,-
OP-AA-010,OP,Activity avoidance,"Outpatient GP Referred First Attendance Reduction (Adult, Surgical)",gp_referred_first_attendance_reduction_adult_surgical,v0.6.3,-
OP-AA-011,OP,Activity avoidance,"Outpatient GP Referred First Attendance Reduction (Children, Non-Surgical)",gp_referred_first_attendance_reduction_child_non-surgical,v0.6.3,-
OP-AA-012,OP,Activity avoidance,"Outpatient GP Referred First Attendance Reduction (Children, Surgical)",gp_referred_first_attendance_reduction_child_surgical,v0.6.3,-
OP-EF-001,OP,Efficiencies,"Outpatient Convert to Tele-Attendance (Adult, Non-Surgical)",convert_to_tele_adult_non-surgical,v0.6.0,-
OP-EF-002,OP,Efficiencies,"Outpatient Convert to Tele-Attendance (Adult, Surgical)",convert_to_tele_adult_surgical,v0.6.0,-
OP-EF-003,OP,Efficiencies,"Outpatient Convert to Tele-Attendance (Children, Non-Surgical)",convert_to_tele_child_non-surgical,v0.6.0,-
OP-EF-004,OP,Efficiencies,"Outpatient Convert to Tele-Attendance (Children, Surgical)",convert_to_tele_child_surgical,v0.6.0,-
